DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
397	27			Dijkstra's Algorithm	Link	★★★☆☆			
398	28			Network Delay Time	Link	★★★☆☆			
399	29			Path With Minimum Effort	Link	★★★☆☆			
400	30			Cheapest Flights Within K Stops	Link	★★★☆☆			
401	31			Path with Maximum Probability	Link	★★★☆☆			
402	32			Bellman-Ford Algorithm	Link	★★★☆☆			
403	33			Floyd Warshall Algorithm	Link	★★★☆☆			
404	34			Find the City With the Smallest Number of Neighbors	Link	★★★☆☆			
405	35			Minimum Multiplications to Reach End	Link	★★★☆☆			
406	36			Number of Ways to Arrive at Destination	Link	★★★☆☆			
407	37		Minimum Spanning Tree (MST)	Minimum Spanning Tree	Link	★★☆☆☆			
408	38			Prim's Algorithm	Link	★★★☆☆			
409	39			Min Cost to Connect All Points (Kruskal)	Link	★★★☆☆			
410	40		Disjoint Set Union (DSU) / Union Find	Disjoint Set	Link	★★☆☆☆			
411	41			Number of Operations to Make Network Connected	Link	★★★☆☆			
412	42			Accounts Merge	Link	★★★☆☆			
413	43			Most Stones Removed with Same Row or Column	Link	★★★☆☆			
414	44			Redundant Connection	Link	★★★☆☆			
415	45			Evaluate Division	Link	★★★★☆			
416	46			Number of Islands II	Link	★★★★☆			
417	47		Bridges, Articulation Points & Strongly Connected Components	Kosaraju's Algorithm		★★★★☆			
418	48			Tarjan's Algorithm / Bridges in Graph	Link	★★★★☆			
419	49			Articulation Point in Graph	Link	★★★★☆			
420	50			Critical Connections in a Network	Link	★★★★☆			
421	51		Advanced Graphs Problems	Snake and Ladder Problem	Link	★★★☆☆			
